Sun Sep 30 18:32:38 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:32:48 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:32:58 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:08 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:18 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:28 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:38 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:48 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:33:58 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:08 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:18 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:28 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:38 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:48 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:34:58 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:35:03 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:35:08 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:35:13 CST 2018 -This hour,Received count: 101559, Saved success count: 1500, Saved failure count: 0,  Buffer Size: 1578  

Sun Sep 30 18:35:18 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:35:23 CST 2018 -This hour,Received count: 234409, Saved success count: 4000, Saved failure count: 0,  Buffer Size: 3000  

Sun Sep 30 18:35:28 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

Sun Sep 30 18:35:38 CST 2018 -This hour,Received count: 0, Saved success count: 0, Saved failure count: 0,  Buffer Size: 0  

